Sentence,Emotion
mẹ thấy đơn giản không ? đấy giờ chỉ việc lên số cái .... lên ...☝️☝️,Enjoyment
và thế những thanh niên ô dâm vào bình luận về cô giáo mình như đúng rồi . nhân cách mất mẹ nó rồi,Disgust
per tôi có 1 thằng bạn lúc nào cũng chỉ lo dìm hàng chiều cao của tôi thôi .,Disgust
yêu làm mẹ gì rồi phải chia tay người ơi,Sadness
cô per vợ ông per - trung nguyên - có phải là cô giáo per huyền thoại không nhỉ ?,Other
chỉ sợ tốc độ ăn của dân mình thì không kịp gây hại thôi,Other
phạt là đúng rồi,Disgust
cần có cơ quan chức năng tới để làm rõ vụ việc với ngư dân đã bắt nó,Other
ai bảo đi mách lẻo làm gì chúng nó chả đánh cho .,Disgust
chúc mừng em và chúc em học tập tốt ngành học đã chọn ! niềm tự hào của tây bắc !,Enjoyment
t nghĩ thợ chụp đéo có tâm bằng thợ make đăng và thợ photoshop đâu,Disgust
"nói dân trí thấp lại tự ái , hỏi nhiều hỏng nhiệm vụ nó lại quy tội chống người thi hành công vụ thì ăn lồn",Disgust
có chị em nào khu vực loc đi coi cùng mình không ...,Enjoyment
vì ai cũng có mối quan tâm riêng,Other
"nói câu sau là nuốt câu trước , y chang nuốt não nó v đó nhỉ kk thật thú vị",Enjoyment
mới mua p30 luôn,Other
rồi nhận ra chỉ mình là cảm thấy như thế thôi hả :(,Sadness
nhìn cách dạy chó là biết cách dạy con,Disgust
ngày nào cũng ngủ với mẹ rồi mà vẫn còn tiếc :))))),Enjoyment
"thằng nào vẽ đẹp , vẽ giúp tao tấm ảnh per phòng hờ cúp điện không có tài liệu quay tay :(",Enjoyment
cho chừa cái thói chạy xe khôn lõi,Disgust
thề luôn con ngáo nó thích trêu mấy đứa sợ sợ như này =)),Enjoyment
"đm tao quăng bể mẹ nó cái màn hình , chó admin - _ -",Anger
không biết nguyên nhân từ đâu,Other
tài năng sáng tạo vẩy bút thôi cũng là nghệ thuật,Other
má :))) đoạn đeo mặt nạ kinh dị vkl :)),Fear
thế mới bảo . chủ động riết rồi nó xem thường :)),Disgust
cafe nguyên chất 🙂,Other
"chưa nói chuyện thân thiết quan tâm , mới xã giao thôi đã lầm tưởng rồi ấy chứ , haizz khổ lắm",Sadness
các mày trốn đi bọn chủ tịch đang đến kìa 😨😨😨,Fear
cái này phải hơn 20 năm rồi . lần đầu không biết canh lửa nên cơm khét hoài 🤣🤣🤣🤣🤣,Enjoyment
per ông này ác thật con bé nó van xin thế rồi,Disgust
per sự tích con chim họa tao với mấy thắc mắc hồi trước nè,Other
"mỏi lần làm phiền và sát hại bao nhiu con kiến , tôi không tu hành nhưng làm thế vì miếng ăn ác ôn quá ngon lành gì",Disgust
lớn lên sẽ rất đẹp chaiii ??,Enjoyment
"thấy bảo sang năm được tủi , nhưng mà năm nay vẫn chưa có người êu",Sadness
diễn viên có cá tính hay nhât từng xem,Enjoyment
mệt như chó :3 nhưng mà hoan hỉ đầu năm đi xin lộc :v,Enjoyment
per cái dume mày thấy tác hại của tập gym chưa,Fear
bạn đặt câu hỏi với mục đích không cần câu trả lời thì thôi mình không nói chuyện,Disgust
"tao sợ chó lắm .""",Fear
"đấm liên tục vào mồm , không trượt phát nào ...",Other
"per nếu có khi nào thấy bản thân vô dụng hay là thất bại , thì hãy nhớ có những người chế tạo ra mấy cái của nợ này . =))",Enjoyment
per ai bày mày thiết kế thế này hả ???,Other
gd năm nay chán,Sadness
em chờ được mà 🙂,Enjoyment
thanh niên thích chơi nổi nhưng nói ngọng :vậy,Disgust
sau khi xem ảnh này xong tôi quyết định ... mua honda :v,Enjoyment
tao cừi tao ỉa 🤣🤣🤣,Enjoyment
per tuổi thơ của mềnh đi học là lúc nào bạn tao cũng ngồi trên và khi nào múa giờ ra chơi cũng múa chung với mềnh 😅😅😅,Enjoyment
thấy không có gì hấp dẫn,Other
chẳng bao giờ thấy sai,Other
per bài tủ 1 thời =)),Enjoyment
hồi xưa đã có giày sục mõm cá sấu rồi cơ à ??,Surprise
chỉ mong ở cái độ tuổi ấy chúng ta còn được như vậy,Enjoyment
trong luật có khung hình phạt xử bắn không ... ghê tởm,Disgust
nhanh thật . đã bắt được rồi,Surprise
"lên kiểm tra phòng thấy dơ quá thì x10 x20 lên cho nó trả lòi lồn , lần sau nó không làm nữa việc chi không kiểm tra phòng giờ gào thét , nhiều phòng nó phạt nặng vụ bánh kem , rồi bình xịt xà phồng các kiểu , ghi tổn thất đồ trong phòng đền gấp đôi .",Disgust
rải đinh nhiều thật,Other
nếu yêu anh ! em sẽ hỏi ý kiến anh về mọi việc .,Other
giữ mãi lòng nhân ái các em nhé ! tấm lòng các em đẹp biết bao .,Enjoyment
hình như chính là cái nhà thờ đó đó,Other
"sao nghiệt ngã vậy :'( đề nghị bắt luôn con mụ tri hô vớ vẩn , phá vỡ hạnh phúc 1 gia đình",Disgust
bình yên thật,Enjoyment
quan trọng là có con đồng nghiệp đầy khẩu nghiệp yến đặng 🤣🤣🤣,Enjoyment
"ở việt nam một số người không giàu đơn thuần , tiền của họ không biết từ đâu ra nên khi lập sân sau họ có thể chơi trò này .",Other
má tao coi mà cứ sợ nó bay ra 😌😌,Fear
đù mé nó ... bơi nhiều quá não rớt mẹ xuống hồ rồi hay gì mấy thằng chó,Anger
chân ngắn sao đi đây ta ?,Other
mẹ mắng lúc sáng sớm là xui cả ngày :(,Sadness
per mã mẹ biết hôm qua quay video sớm hơn ự,Sadness
"dân trí thấp , trẻ trâu , trai làng 🙂",Disgust
tự dưng cụt con mẹ nó 1 tay trong 66 năm 😂 chả để làm đéo gì . nhìn bẩn bựa vkl 😂,Disgust
nhện đéo bằng thằng lằn đâu :)) dume kinhh tởm vll :((,Disgust
địt mẹ 2 thằng bạn lol,Disgust
đùa ... cảnh sát việt nam tài thật . vụ gì cũng bắt trong 48 giờ,Enjoyment
xem chỉ đợi đến đọan nó ngã để cười :)))),Enjoyment
per đồ ảo tưởng,Disgust
đó là lý do tao chỉ muốn điện thoại là phương tiện liên lạc . không phảu phương tiện chứa đựng bí mật,Other
"gia đình và tình yêu , để thay đổi mọi thứ",Other
"hồi lớp 1 đú theo lũ bạn về học nấu . thế là cơm sống , sợ quá vùi gạo trong đống tro",Fear
năm ngoái là hôm hai chị em chuẩn bị làm mứt tết ... cũng không nhó có gato với họ không ... năm nay thì khác .... vẫn cô đơn nhưng không hề gato .....,Enjoyment
chỉ là không có ai để nhắn thì mới nhắn cho mình . công nhận nguy hiểm,Fear
tau cố gắng chỉ được từng này 😦😦,Other
tội này nên cho đi tù cả lũ đi người mình hại người mình 😡,Anger
thằng này cục súc vãi,Disgust
nhỏ ngầu lớn lên nhìn bê đi =))),Enjoyment
thằng lái tàu mua bằng .. con ông cháu cha mới xin vào đây được .... bẻ lái lách ra 1 chút thì có sao đâu ... cục súc vãi ....,Disgust
tối nay chồng tương lai sẽ đưa con khác đi chơi 😆😆😆,Sadness
hôm nay đi qua vẫn thấy nói chuyện thải chảy thẳng ra sông thì bao giờ mới sạch được ... haiz,Sadness
"đó là 1 câu chuyện buồn , tao không có bạn trai hix hix",Sadness
ở daklak nữa không xử phạt thì còn mất nhiều,Other
đầu mùa chua chua ăn ngon vãi_chưởng . thích vải lắm luôn . trong khi nhà toàn nhãn .,Enjoyment
chẳng thấm vào đâu . so với số tiền khủng kiếm được . hằng ngày mụ ta nói khoác lác vài câu .???,Disgust
"tao có 4 cái ăn không tao share bớt cho , cạch mặt đứa bán hàng đi",Disgust
đầu óc đến giờ vẫn còn nặng và đang né tránh mọi người .,Fear
chuyên cơ tt quá đẹp ! bao giờ má mua được chiêc như vâ ̀ y trơi ̀ !!,Enjoyment
bó tay . lại khiển trách . rút kinh nghiệm,Anger
điên khùng . nhưng hahahah . nhiều tiền quá mạ ơi,Enjoyment
một nỗi buồn thầm lặng,Sadness
béo tí đáng yêu mà =)),Enjoyment
tag cái đứa bạn nghĩ nó nên gia nhập hội này ;),Other
sau này có nhắn tin thì không phải là chào em mà là chào mọi người,Other
tài liệu mật mà mày cũng biết à 😆 max xạo lờ,Disgust
ổng múa đẹp thiệt chứ bộ .,Surprise
per anh có định quát mắng em không,Other
"má ơi , coi đến fire tưởng quảng cáo rạp chiếu phim , đến cuối té ra là mái nhà =))",Surprise
ra chỗ khác sóng không tới viết đi cậu :((( nhìn buồn vãi,Sadness
rơi mất tim . nguy hiểm thiệt ^^,Fear
"hồi nhỏ thì tao bị cả bầy dí , được fine :)))))) đến khi tao 12 và đi học đh năm nhất , sau 1 tháng xa nhà , về nhà và cái kết là tao không còn bước ra khỏi cửa nữa , n dí everywhere :)))))))",Fear
per ngồi ôm bụng cười và liên tưởng đến nhiều nhân vật,Enjoyment
ko sợ gì chỉ sợ con ml ý 😞,Fear
cảm thấy bạn trai tớ giận dỗi đáng yêu cực,Enjoyment
ủa xưng mày tao thì có vấn đề gì nhễ,Other
"toàn xử ép , đi tù gần được 7 năm rồi đền người ta 200 triệu . thời gian tuổi trẻ của con người rẻ mạt quâ",Disgust
thứ mà dễ dàng qa cũng nguy hiểm,Fear
"đúng vại , với ai nó cũng tỏ ra như thế . hihi 😂",Enjoyment
với mình đoạn mấy thằng đỡ đẻ là hay nhất,Enjoyment
nhà em có tính lắp không per,Other
gái đĩ già mồm,Disgust
thương em :(,Sadness
sáu múi đâu rồi,Other
đậu phộng hahhahah may hềy,Enjoyment
nó ở cái tầm vũ trụ chuẩn mẹ rồi,Other
đổ vỏ chắc luôn 😌,Disgust
cô ấy còn không thèm coi tin nhắn của tao :((,Disgust
hạnh phúc phát khóc,Enjoyment
per tụi này bản lĩnh ghê .,Surprise
mai thi xong tao sẽ mang đống đề cương đi bán cho đỡ ghét,Disgust
dự là sắp có án mạng xảy ra 😂,Other
phòng gì vậy .,Other
"hai đứa đều có máu ở tay , mù à mà không nhìn thấy 😒",Disgust
thằng nào sửa xe này dễ đau tim mà chết lắm . :)). nhất là những thằng sợ rắn .,Fear
đó cứ có phải trông giàu sang phú quý là sẽ sòng phẳng đâu,Other
sao đũy đó có thể mập được vậy nhỉ,Surprise
lại công cốc rồi . cả thế giới kì vọng,Sadness
tao tưởng tượng sau này sẽ có 1 thằng bồ vừa điên vừa ngáo giống tao .. chắc vui hết sảy 🤣,Enjoyment
ai hát tao cho tao nge bài này chắc tao say quá,Enjoyment
cách tốt nhất là đứng lên và chọn 1 nơi khác để tìm 1 thứ tốt đẹp hơn và dễ viết hơn :)),Enjoyment
lập đội cảnh sat chuyên đi dẹp những nơi tụ tập như thế,Other
tao ngự ở trong uống nước cho nhàn thân rồi,Enjoyment
nếu bạn kinh doanh mà tôi đỗ xe trước cửa nhà bạn cả buổi thì đường của ai nhỉ,Disgust
per thuê kiểm kê tài sản do toà án làm bạn ơi . 😂 cả 1 nùi người làm cật lực đấy .,Other
yêu quá ! xinh quá ??????,Enjoyment
ước mơ làm ngành thật đam mê,Other
câu chuyện của em làm anh cảm động quá …,Sadness
êu ơi sao con mụ này không gặp mình nhờ :))) ước gì có con mụ thế này tông vào mình ý :)))) klq mà giọng bé quay video đáng yêu thế ❤️,Enjoyment
thề dume đứa nào nghĩ ra cái đoạn kết như kiểu hết phim như này nhàm vãi ra . đang hay thì tụt hứng,Disgust
ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm,Anger
tuổi gì so với anh ! :) haha,Enjoyment
"nó gieo cho tao mầm hi vọng , hi vọng vừa chớm nở nó đạp xẹp lép sự hi vọng bằg sự lặng im",Sadness
bỏ tù hết lũ xả thải như thế này đi,Anger
chữ tao từ lớp 3 đã kiểu như thế nào và còn đẹp hơn nhé .,Enjoyment
dume nó hết con mẹ nó hồn ....😭😭😭😭,Fear
14 / 2 năm ngoái tao mọc sừng . nên 14 / 2 năm nay tao quyết định cưa sừng 😊,Enjoyment
đm trí tuệ vãi,Enjoyment
thấy tội em thỏ bị ăn đòn tới tấp,Sadness
một bài dịch hay,Enjoyment
giọng cute phết,Enjoyment
mày độc ác vãi,Disgust
ở đây chúng tôi không làm thế,Other
uầy . ngọt thế ??????,Enjoyment
mỗi lần chào cờ :)) đậu má dth vãi :v,Enjoyment
lâu quá rồi không nghe,Other
sẽ được toại nguyện thôi . yên tâm .,Other
"à , thì ra là nó dỗ mình 😂",Surprise
dth quá haha,Enjoyment
bớt rung động đời bớt suy nghĩ,Other
tóm lại gọi là nghệt thuật của kinh doanh là bán lỗ ho nhanh,Other
"mấy thằng con nào sủa câu "" công việc thì chịu đi than cái lol "" thì dume tụi bây sau này ráng làm giàu làm chủ nha con chứ nghèo thì con cái tụi bây phải đi làm thuê làm mướn gặp hoàn cảnh tương tự rồi tụi nó quay lại chửi vô mặt cha mẹ nó là chúng mày thì nhục lắm nha con .",Disgust
per một thời nè 😃,Enjoyment
"má gần nhà có nuôi 1 cặp ngày nào đi ngang nó nhìn thấy nó quay đầu bỏ chạy , con gì mà dữ thấy mẹ hà",Fear
cái kết hay nhất là đuổi khỏi dòng họ tiếp theo nhàm quá,Disgust
định share mà đọc bình luận tắt con mẹ nó cảm xúc :(((((,Sadness
thật là một sự mỉa mai,Other
tao đang cố un crush nhưng khi xem xong video trên thì ..........( khóc không ra nước mắt ),Sadness
lúc mày vui thì sao :))) những lúc buồn hãy nghĩ lại trước kia vui sướng !,Enjoyment
anh ơi :3 hôm nay em thích anh chơi game và đi ngủ sớm đấy :3 đừng đi chơi với gái :<,Other
ai ngu như mày,Disgust
per bị phạt 10tr à c 🤣🤣,Enjoyment
xem mấy lần rồi vẫn thấy hay,Enjoyment
đơn giản mà mấy ai làm được .... ngưỡng mộ,Enjoyment
hạnh phúc ghê,Enjoyment
vớ vẩn :)))),Disgust
nt thêm cái dạ vâng thấy quý vãi,Enjoyment
:) đàn ông mà nặng tình vãi lol ra,Sadness
loài vật đang dần dần có trí khôn và hành động như một con người còn một số người thì đang tiến hóa ngược :v,Disgust
khiếp quá có đẹp đẽ gì đâu chứ ?,Disgust
"dù chỉ để nhìn 1 cái , để biết người ấy vẫn ổn , người ấy còn tồn tại . ít nhất là nv 😔",Sadness
biết đâu mưa xuống ổng ấy lại hết ngáo ??????,Other
"phải chi có ai đối với tao như này ha . nghĩ lại , mình không bằng cả chó . aiyo ....",Sadness
tao mà ở đây là sợ rụng trứng luôn chứ đừng nói ăn,Fear
tao rất thích nhạc trung từ giai điệu đến ý nghĩa rất hay 😁😁😁,Enjoyment
"đứng nhất tại trừ phí nhiều chứ khỉ gì . mới lãnh lương xong là trừ , không đki dịch vụ gì hết mà tháng nào cũng trừ , tới lúc cần giải quyết ra đợi cả buổi , rồi lại hẹn cả tuần .",Anger
làm phục vụ xong 4 tháng đi hà nội 1 lần chỉ để gặp người yêu xong giờ thì mới biết là nó cắm nguyên cây sừng lên đầu mình,Sadness
thế con lồn chủ nhiệm kia đéo có trách nhiệm gì nữa à :/ giáo viên mà sao nghĩ ngắn thế ?,Anger
trong khi đó lũ con trai lớp tao mỗi lần cắt tóc xong là một vở kịch mới được mở màn :vv,Enjoyment
"chúg mày cứ bảo nhắn thêm , tao thấy mày nhắn chữ dạ vâng là đã thấy đáng yêu rồi :)))",Enjoyment
con đũy ngổng ngáo,Disgust
add xem ảnh ngoài đời chưa mà nói dume,Disgust
có người sinh ra đã giàu có người làm cực khổ cũng không thể giàu . thương ông,Sadness
cho hỏi ngu tí là tiền bồi thươ ̀ người mấy vụ án oan lấy ra từ đâu vậy ??,Surprise
tên thì tất nhiên nhớ nhưng ngày sinh của tao thì ông bà bô nhà tao không một ai nhớ cả ^^,Sadness
câu chuyện vui ha =]],Enjoyment
sao em này lại xinh vậy ?,Surprise
đáng yêu mà sợ gì,Enjoyment
không hiểu lắm,Other
"tao chả thấy cười ở cái đoạn buồi nào cả , sắp đến đoạn hay tí lại ngắt cmnl",Disgust
chúc trump chuyến bay thật may mắn nhớ tới thăm hà nội nhé xin chào,Enjoyment
"gặp tao , tao ré cái hoảng mất :(( đáng sợ qué",Fear
có đứa nào giống tao vào đọc bình luận để biết cái này là cái gì không .?,Other
"này hai đứa , đã đi niềng răng chưa , chưa thì đi niềng đi rồi quay lại nhé nhởn ra cười như hai đứa thần kinh nhé",Disgust
"sai nhé ! không phải trầm cảm đâu . thứ đó , kinh khủng hơn rất nhiều",Other
lò bếp dầu một thời nè gì per,Other
khi nhỏ còn bị nghiện mùi khói này nữa chớ . 😄,Enjoyment
lâu lắm rồi mới nghe lại bài này 😀,Enjoyment
phim này xem rồi ý nghĩa vài,Enjoyment
khi đang xây cầu mà bị rút bớt kinh phí !,Other
ít nhất con nhện nó còn yêu mày 🙂🙂🙂,Enjoyment
tao bẻ cổ mày luôn ấy,Anger
"đm 3 tiếng đi được 20m , đéo biết bao giờ mới về đến nhà",Disgust
dell hiểu phí cái con cặc gì =))) cái tỷ lệ mặt này .,Disgust
mày chặt một tay đi cho dễ nhớ,Other
khoảng gần chục năm về trước thì còn vàng trắng .... giờ thì bán còn không đủ không đủ để trả công nữa là,Sadness
1 chút vị cay pha thêm 1 chút vị đắng nhưng đôi khi cũng có chút ngọt ngào,Other
tình yêu là lời nói dối của 1 thằng khùng được tin bởi 1 con ngu 🤣🤣,Disgust
má 2 thằng áo vàng lầy ghê 😂,Other
bộ phim truyền cảm hứng hay nhất =),Enjoyment
cái kết có hậu quá :)),Enjoyment
mặt hài vãi chưởng =)))),Enjoyment
câu chuyện thật cục súc :),Disgust
"em sẽ mãi không biết có lúc tôi gọi chỉ để nghe câu "" ai vậy ?""",Sadness
per kinh nghiệm nha,Enjoyment
bếp dầu lại nhớ thời sinh viên,Other
"các bạn đừng dạy người giàu đặc biệt ( đàn ông ) cách khoan dung và của chồng công vợ . qua bao nhiêu bài tìm hiểu . chị vợ rất thâm !!! tuy mình là phụ nữ , nhưng đọc qua nhiều bài mới nể phục anh vũ . và cảm thấy sự khinh bỉ đâu đó dành cho c thảo , dù c tài năng đến đâu nhưng c tham thì thâm mọi người sẽ không bao giờ ủng hộ c .",Disgust
người ta thật thà phết,Enjoyment
chàng trai vàng trong làng bấm biển =))),Enjoyment
sao không thây lên báo nhỉ,Other
lần sau mua mấy con vít gỗ 2cm lém gần bánh :)) lần sau sợ ngay :)),Other
ai sẽ chở tớ đi đâyy,Other
không may thụt chân xuống thì sẽ như thế nào nhỉ chắc là thốn đến tận rốn,Fear
nhìn ông với bà chất hơn thanh niên bây giờ,Enjoyment
per đồng nghiệp tốt giúp ta dễ vào nhà thương điên kkkk,Enjoyment
"thứ hãm lol , trêu vô duyên vãi , xấu mặt dân tao",Disgust
per vẽ đẹp cũng có thú vui của nó mày :)),Enjoyment
"ngày xưa nuôi mấy con mèo . đêm hôm nó cứ lựa lúc cửa mở là chạy đi chơi mất . những lần nó không về buồn thối ruột , tối cứ mở cửa để đợi tiếng meo meo 😥",Sadness
xem cả chục lần vẫn thấy hạnh phúc lây với cụ bà 😊 không biết mai sau mình có được vậy không,Enjoyment
phim này rất hay . tình cảm nhẹ nhàng . toàn zai đẹp . hehe,Enjoyment
per thế mà cháu tôi không biết chơi 😭😭,Sadness
là nhân duyên trời ban cớ sao chẳng thành đôi :(,Sadness
per c . bị tinh thần đi xem đi 👻,Enjoyment
đáng yêuc quad 🤤🤤🤤,Enjoyment
thu nhập bình quân chứ không phải thu nhập của nhân viên nào cũng thế 😏,Other
tốt nhất là không nên mang điện thoại theo người,Other
dume sởn gai ốc 😭,Fear
"chả lẽ không không cô bắt học sinh quỳ như thế à ... bây giờ vài bọn “ học giả ” cứ rả rích là thầy cô không giáo dục học trò chỉ đăm đăm vào dạy , lúc thầy cô “ dạy ” thì lại rôm rả về đạo đức nghề giáo ... ôi thôi ... đủ các thể loại",Disgust
"đẹp quá mày , còn không cho tao xin ít",Enjoyment
mày nghĩ mày cản được tao à ? :)),Other
thế là dấu ấn lịch sử và hình tượng thằng gù nhà thờ đức bà của nước pháp đã thành tàn tro :(,Sadness
mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh nghiệm,Disgust
dkm bọn này thất đức thật,Anger
add cứ khoe đi . mai lại chặt hết như nguyễn trãi mà 😂😂😂,Enjoyment
cảm giác lúc đấy mình quá đáng vãi ra,Disgust
nghe quả tên nó đã khét vãi rồi . :))),Enjoyment
mình cũng có con mèo đực nuôi được 1 năm thì nó biệt tích 1 năm sau nó về rồi 1 năm sau thì nó mất .... buồn,Sadness
per cứ chuẩn bị tiền đi hú là tôi đi,Other
ui mấy ông tướng men nì từ bé luôn nhỉ . đáng yêuc chết được 🥰🥰🥰,Surprise
quá đáng !,Anger
cái này thì ai chả đau lòng trời,Sadness
hay lắm,Enjoyment
thế này lại thành xây nhà cho nhà hàng xóm rồi 😰,Sadness
"nhiều nước quá , lấy bát về múc nước ra thêm tí đường vào là có 1 bát nước gạo ngon lành",Enjoyment
"phải nói thằng lái xe đỗ quá thể , sau vụ này chắc sẽ khôn ra nhiều",Disgust
"xem tới xem lui không biết bao nhiêu lần , nhưng đều có cùng cảm xúc mỗi lần xem lại . một bộ phim tuyệt vời 👍",Enjoyment
"tàn nhẫn thế nào , là khi mình trao họ hết hy vọng rồi họ lại dập tắt đi nó",Sadness
có tiến bộ ! kkk,Enjoyment
chờ một ngày tao ưu tú rồi mọi thứ sẽ tự tìm đến với ta,Other
t định thả sad nhưng đọc bình luận buồn cười vailon 😂 nên thả hahaa :v,Enjoyment
quá nguy hiểm . chúng nó có thể đang đùa cợt với mày đấy,Other
"người ta đi trước cả ý nghĩ của ông rồi đừng dậy người ta , phải tự hào chứ",Disgust
buồn thế nhỉ . t mới mua con per chưa nổi 1 năm . thế này thì biết sống sao 😨😨,Sadness
phải thế mới hết thối được,Other
thấy cái thèm ts quá,Enjoyment
nếu diễn viên chính trẻ hơn đẹp hơn đang yêuc hơn thì mình sẽ xem haizz,Other
dm cưng vlll =))),Enjoyment
"quan trọng là lòng tin , bạn bè mình một số người mình đã mất lòng tin thì đừng bao giờ nói chuyện tiền nong . khâm phục anh",Enjoyment
dm . đồ dạo này lắm tạp chất hay s í nó đéo phê nhg mà vẫn bị ngáo,Fear
chỉ khổ thân bọn trẻ thôi đau sót lắm,Sadness
chứ sao mày không ngủ mà kêu tao ngủ,Other
mấy con bò nó nhột nó lại cắn cho giờ,Other
tao sẽ chỉ tự an ủi là đấy chỉ có trong phim truỵên ngôn tình :),Sadness
dume sự nghiệp vứt đi đâu,Other
t mà bị như này thì chắc tao chết luôn c ạ 😂😂 per,Fear
lại cái trò đéo cho đỗ ???,Anger
"hăm hở đón nhận tất cả , thậm chí là nỗi buồn , nếu điều ấy khiến việc tồn tại của bạn mang một hương vị đáng nhớ ...",Sadness
đôi mắt to quá,Surprise
buồn dễ sợ mà huhu,Sadness
thú vị vậy =)),Enjoyment
giống tao thế nhỉ ! 😑😑,Surprise
nói chuyện như người yêu ??,Enjoyment
toàn bọn lùn haizz,Disgust
"per mày nhìn thành long hồi này có thấy giống mặt anh chung nhung hồi xưa không :))))). thề luôn , tao thấy giống vãi 🤣",Enjoyment
thôi chết . thế thì tao đứt dây thần kinh gây cười rồi,Other
tao lại lấy mỡ đè chết mày bây giờ,Anger
"rất thích g7 hồi từ 2012 trở lại , có lẽ sẽ uống lại trung nguyên :)",Enjoyment
chuỗi ngày tủi nhục cũng từ đó mà bắt đầu,Sadness
per hihi nhớ không,Enjoyment
con cháu thằng nào ra đường mà không dạy thế,Disgust
chắc là không sợ chó ha,Other
tks admin ... tôi muốn tìm phim này lâu rồi mà không nhớ tên phim ... tks admin nhiều,Enjoyment
thính hơn chó động 1 tí là kêu inh ỏi điếc cả tai . đuổi thì đuổi dai 😒,Anger
lạy chúa con còn lứa tuổi học sinh,Other
đó là 1 câu chuyện buồn 😤,Sadness
"nhìn cảnh này mình nhớ lại cảnh ông ngoại mình đứng ngay quan tài bà ngoại khóc nức nở . bà đi rồi để ông ở lại một mình , đau lòng quá",Sadness
"bánh tráng trộn năm đó ở roai ờ ti , ruột đau như cắt nói chuyện mắt đầm đìa đền thg dưa gang cốc dưa hấu kem chi per",Sadness
bây thấy nó vô lý vãi lol không ?,Disgust
chuẩn con mẹ nó cơm oy 😂😂😂,Enjoyment
ngày xưa mẹ tao dạy ở miền núi . năm tao học lớp 3 lần đầu tiên lên trường với mẹ . đaumoa mấy con ngỗng mất dạy rượt tao leo lên cây phượng cao chót vót cả tiếng không dám xuống .,Fear
đúng rồi . tất cả chỉ là lừa dối thôi . nhớ nhé ..,Disgust
mày chuẩn bị ra rìa rồi con,Other
"chứ tao mà viết đến giờ chắc dày lắm , nhiều đứa bị lôi vào sổ ghi nợ lắm :d",Other
xem 1 lần rồi thôi !!,Other
cắt tóc xong rùi gội đầu xong tóc còn ướt ý nhìn đẹp trai lắm luôn ý,Enjoyment
"sau 1 thời còm men dạo khắp muôn nơi , cháu đã lên được fan cứng rất rất cứng 😆😆",Enjoyment
ông lại tự phức tạp hóa vấn đề lên thôi :v,Other
"mất 1 phút để say mê một người , một giờ để thích một người và một ngày để yêu một người nhưng có thể lại mất một đời để quên đi hình bóng ấy . đấy là câu xạo lol trong ngôn tình thôi chứ tin thế đéo nào được",Disgust
hạnh phúc . mà hạnh phúc của đàn ông thì khó nói lắm . kaka,Enjoyment
tripod dựng cao lên để chụp thì thần kinh chỗ nào :) dume ghép video đếu xem mà chèn tiêu đề như con cặc ấy,Disgust
thấy ớn,Disgust
mấy bọn thả chó không rọ mõm gây hại cho người khác phải bị chó cắn mới thích đáng per,Disgust
"đó là do bạn ngu , đéo biết chọn chỗ viết",Disgust
"giờ đây chúng ta , những con người của ngày ấy giờ không còn nữa ... những lời nói về mai sau nhưng ta đâu ngờ sau này chúng ta càng trở lên xa lạ",Sadness
ngại gì thế vừa nhanh vừa tiện,Other
nhà anh có cơ to nhưng óc anh bằng quả nho !!,Disgust
bếp dầu vặn tim rồi chăm lửa nó mới cháy nha chỉ cho mấy đứa không bit sài,Other
không biết thật mà hix .,Sadness
về nhà thể hiển nhé chú em,Disgust
"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi",Enjoyment
lỗi là do phụ huynh . nên đừng gây áp lực cho mấy em trẻ,Disgust
"sai rõ rồi , bếp công cộng nào cũng phải có lưu mẫu chứ . nếu không lưu thì lại vi phạm thì xử cái đó",Disgust
"đang lười quá nè , làm sao để bớt lười",Other
đẹp quá 😆 vi diệu,Surprise
"đến lúc yêu nhạt cực :) tao thề ! kiểu chán chán , muốn quay về đơn phương hơn",Sadness
ngiu tao cắt tóc xong nhìn như cặc . phải để tầm nữa tháng sau nhìn mới nung trở lại,Disgust
có lẽ chỉ là con tốt thí thân cho cả bầy bụng phệ phía sau,Disgust
nghèo mà đi tập huấn sang chảnh ??,Disgust
tao toàn bạn gái mà sao vẫn tưng tửng nhể ???,Sadness
vậy cứ mở mồm chó ra đổ thừa trung quốc . toàn mình giết mình,Anger
"cấm đỗ thì gọi phường hay thanh tra giao thông xuống cẩu đi , chứ đường nhà chủ thớt bỏ tiền mua chắc ??????",Disgust
"cái dòng ế mà dễ dãi , hứ tao khinh",Disgust
xem lâu rồi giờ xem lại vẫn buồn cười,Enjoyment
"còn giữ 2 cái đĩa cổ này luôn á , ghê hông",Enjoyment
quen với quên rồi thì hết đau thôi mà,Sadness
anh này còn phim pk nữa rất hay và ý nghĩa,Enjoyment
"cả phim trừ anh dv chính ra thì thấy anh này là đáng yêu nhất , dù nhìn hơi hâm hâm tý",Enjoyment
mua mà không được phát tán virut bán ra chợ đen thì mua để mà tế ah .,Disgust
cẩn thận quá cô ơi,Other
muốn nhanh thì phải từ từ =))))),Enjoyment
nhìn phiêu thật chắc nhẹ mất mấy cân một bên tai 😂😂😂,Other
đang có phong trào tế trượt chân bể bình hả,Other
có khi nào là chủ tịch giả vờ không ?,Other
