Sentence,Emotion,Tokenized_Sentence,tokens_length
bạn thân không ác thì ai ác cười_lăn_lộn_trên_sàn,Disgust,"['bạn', 'thân', 'không', 'ác', 'ai', 'ác', 'cười_lăn_lộn_trên_sàn']",7
ý nghĩa và đáng suy ngẫm thật,Enjoyment,"['ý nghĩa', 'đáng', 'suy ngẫm']",3
tao nấu củi chưa nấu bằng rơm bao giờ buồn_ngủ,Other,"['tao', 'nấu', 'củi', 'chưa', 'nấu', 'bằng', 'rơm', 'bao giờ', 'buồn_ngủ']",9
tao cũng muốn học vẽ lắm buồn cơ mà không có điều kiện để đi học,Sadness,"['tao', 'cũng', 'muốn', 'học', 'vẽ', 'lắm', 'buồn cơ', 'không', 'điều kiện', 'để', 'học']",11
tao bị quỳ cột cờ mới ác . cả trường biết mặt luôn . nhục vãi,Sadness,"['tao', 'quỳ', 'cột', 'cờ', 'mới', 'ác', 'cả', 'trường', 'biết', 'mặt', 'luôn', 'nhục', 'vãi']",13
"hồi xưa , giờ yêu kiểu người lớn cơ mà",Other,"['hồi', 'xưa', 'giờ', 'yêu', 'kiểu', 'người lớn', 'cơ']",7
cười bật nhạc lên và quẩy thôi,Enjoyment,"['cười', 'bật nhạc', 'lên', 'quẩy']",4
crush tao mất rồi .,Sadness,"['crush', 'tao', 'mất']",3
per tiếc cái gì đấy bố nó,Sadness,"['per', 'tiếc', 'cái', 'gì', 'đấy', 'bố', 'nó']",7
hay cực,Enjoyment,"['hay', 'cực']",2
người ta gọi là ngu mà cứ đâm đầu vào đấy cười,Disgust,"['người', 'ta', 'gọi', 'ngu', 'cứ', 'đâm đầu vào', 'đấy', 'cười']",8
không có tăng nhiêu à gần chục kí thôi à hài_lòng,Other,"['không', 'tăng', 'nhiêu', 'à', 'gần', 'chục', 'kí', 'à', 'hài_lòng']",9
không biết mình có được may mắn như cụ bà này không,Other,"['không', 'biết', 'mình', 'may mắn', 'cụ', 'bà', 'không']",7
"việc của ông vũ giờ là mua nhiều thật nhiều cigar và lên chùa xây cái am trung nguyên thiền định tiếp đi qua ơi , qua quậy quá rồi để cho vợ và 4 con tiếp quản được rồi qua ơi .",Disgust,"['việc', 'ông', 'vũ giờ', 'mua', 'nhiều', 'nhiều', 'cigar', 'lên', 'chùa', 'xây', 'cái', 'am trung nguyên', 'thiền định', 'tiếp', 'qua', 'ơi', 'qua', 'quậy', 'để', 'vợ', '4', 'con', 'tiếp quản', 'qua', 'ơi']",25
buồn dễ sợ mà huhu,Sadness,"['buồn', 'dễ', 'sợ', 'huhu']",4
cuộc đời bạn đáng giá bao nhiêu tiền,Other,"['cuộc đời', 'bạn', 'đáng giá', 'bao nhiêu', 'tiền']",5
mặc đồ vậy là để leo lên xe đi tập chứ đi đâu chụp lén hình ảnh người ta đã vô duyên còn thêm thằng đăng bài đã bôi nhọ còn dài dòng cười,Anger,"['mặc', 'đồ', 'để', 'leo', 'lên', 'xe', 'tập', 'chứ', 'đâu', 'chụp', 'lén', 'hình ảnh', 'người', 'ta', 'vô duyên', 'còn', 'thêm', 'thằng', 'đăng', 'bài', 'bôi nhọ', 'còn', 'dài', 'dòng', 'cười']",25
từ xưa phụ nữ vẫn phải tần tảo xoay sở cho gia đình tương đối khỏi thiếu hụt các ông chỉ làm công chức đưa lương về thiếu đủ đâu cần biết như bà tú xương điển hình nhưng có bao nhiêu người kể cả người chồng nhìn được sự hy sinh của vợ đàn bà khi sanh nở là có khi đem cả mạng sống mình ra,Sadness,"['từ', 'xưa', 'phụ nữ', 'vẫn', 'phải', 'tần tảo', 'xoay', 'sở', 'gia đình', 'tương đối', 'khỏi', 'thiếu hụt', 'ông', 'chỉ', 'làm', 'công chức', 'đưa', 'lương', 'về', 'thiếu', 'đủ', 'đâu', 'cần', 'biết', 'bà', 'tú xương', 'điển hình', 'nhưng', 'bao nhiêu', 'người', 'kể cả', 'người', 'chồng', 'nhìn', 'sự', 'hy sinh', 'vợ', 'đàn bà', 'sanh', 'nở', 'có khi', 'đem', 'cả', 'mạng', 'sống', 'mình']",46
đỉnh cao cười,Enjoyment,"['đỉnh cao', 'cười']",2
kẻ bạo chúa trung đông được sự hậu thuẫn của mỹ anh pháp đã gây tội ác diệt chủng loài người trong mấy chục năm qua mà liên hợp quốc và tòa án hình sự quốc tế cũng không làm gì được,Disgust,"['kẻ', 'bạo chúa', 'trung đông', 'sự', 'hậu thuẫn', 'mỹ', 'anh', 'pháp', 'gây', 'tội ác', 'diệt chủng', 'loài người', 'mấy', 'chục', 'năm', 'qua', 'liên hợp quốc', 'tòa án', 'hình sự', 'quốc tế', 'cũng', 'không', 'làm', 'gì']",24
vợ per nuôi tốt quá béo tốt ra hẳn,Enjoyment,"['vợ', 'per', 'nuôi', 'tốt', 'béo', 'tốt', 'hẳn']",7
vện vàng dạo này im nhỉ không thấy sủa bắc kỳ nữa,Other,"['vện', 'vàng', 'dạo', 'im nhỉ', 'không', 'thấy', 'sủa', 'bắc', 'kỳ']",9
em muốn bỏ nghề anh ơi khóc_nức_nở tôi muốn die,Sadness,"['em', 'muốn', 'bỏ', 'nghề', 'anh', 'ơi', 'khóc_nức_nở', 'tôi', 'muốn', 'die']",10
chó nhà tui nó mang bầu là nó nhõg nhẽo ghê lắm,Enjoyment,"['chó', 'nhà', 'tui', 'nó', 'mang', 'bầu', 'nó', 'nhõg nhẽo', 'ghê', 'lắm']",10
tốt quá,Enjoyment,['tốt'],1
có đứa nào giống tao vào đọc bình luận để biết cái này là cái gì không . ?,Other,"['đứa', 'nào', 'giống', 'tao', 'vào', 'đọc', 'bình luận', 'để', 'biết', 'cái', 'cái', 'gì', 'không', '?']",14
thích bài này lắm luôn . thuộc luôn,Enjoyment,"['thích', 'bài', 'lắm', 'luôn', 'thuộc', 'luôn']",6
địt_con_mẹ bọn này thất đức thật,Anger,"['địt_con_mẹ', 'bọn', 'thất đức']",3
à thì ra là như v cười,Enjoyment,"['à', 'thì ra', 'v', 'cười']",4
"đấy , chỉ có sale như tao mới tốt thôi , tao không bao giờ hỏi về nỗi đau của khách hàng : x",Enjoyment,"['đấy', 'chỉ', 'sale', 'tao', 'mới', 'tốt', 'tao', 'không', 'bao giờ', 'hỏi', 'về', 'nỗi', 'đau', 'khách hàng', 'x']",15
còn các bạn đặt bánh của mình toàn gửi cho người yêu . chắc câu chuyện này còn buồn hơn buồn,Sadness,"['còn', 'bạn', 'đặt', 'bánh', 'mình', 'toàn', 'gửi', 'người yêu', 'chắc', 'câu chuyện', 'còn', 'buồn', 'hơn', 'buồn']",14
người ta đỗ giữa 2 cửa thế kia là rất ý thức rồi,Enjoyment,"['người', 'ta', 'đỗ', 'giữa', '2', 'cửa', 'thế', 'ý thức']",8
hic không phải tiền của mình nên có vẻ nhiều người xem nhẹ quá nhỉ . 580 k to mà công sức các thứ các thứ của chủ thớt chứ có đi xin đâu ? cười,Disgust,"['hic', 'không', 'phải', 'tiền', 'mình', 'có vẻ', 'nhiều', 'người', 'xem', 'nhẹ', 'nhỉ', '580', 'k', 'to', 'công sức', 'thứ', 'thứ', 'chủ thớt', 'chứ', 'xin', 'đâu', '?', 'cười']",23
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",Sadness,"['chủ động', 'nói chuyện', 'nhắn tin', 'time', 'nhưng', 'đời', 'không', 'mơ']",8
"ngày chia tay , chúng tôi đã ôm nhau khóc",Sadness,"['ngày', 'chia tay', 'chúng tôi', 'ôm', 'nhau', 'khóc']",6
soi mà không đủ tiền mua thì soi làm gì,Disgust,"['soi', 'không', 'đủ', 'tiền', 'mua', 'soi', 'làm', 'gì']",8
hàng cổ rồi anh ơi,Other,"['hàng', 'cổ', 'anh', 'ơi']",4
một cái vẫy tay đầy luyến tiếc từ cuộc họp tới đất nước việt nam,Sadness,"['cái', 'vẫy', 'tay', 'đầy', 'luyến tiếc', 'từ', 'cuộc', 'họp', 'tới', 'đất nước', 'việt nam']",11
méo hết cả mặt cười,Disgust,"['méo', 'hết', 'cả', 'mặt', 'cười']",5
phim này hay dã man luôn có ai biết phim nào kiểu dạng này nữa o say_mê,Enjoyment,"['phim', 'hay', 'dã man', 'luôn', 'ai', 'biết', 'phim', 'nào', 'kiểu', 'dạng', 'o', 'say_mê']",12
để tao nấu thì quên luôn . xác định tối đó đói buồn,Sadness,"['để', 'tao', 'nấu', 'quên', 'luôn', 'xác định', 'tối', 'đói', 'buồn']",9
"thớt này chụp kém vãi , 1 khung cảnh mà chụp tận 3 bức , 3 in 1",Disgust,"['thớt', 'chụp', 'kém', 'vãi', '1', 'khung cảnh', 'chụp', 'tận', '3', 'bức', '3', 'in', '1']",13
lúc rài không gặp được mặt cờ rút nữa buồn_ngủ,Sadness,"['lúc', 'rài', 'không', 'gặp', 'mặt', 'cờ', 'rút', 'buồn_ngủ']",8
đồng nai mùa chim nướng yên xe kaka,Enjoyment,"['đồng', 'nai', 'mùa', 'chim', 'nướng', 'yên', 'xe', 'kaka']",8
"1 bộ phim phải nói trên cả tuyệt vời , xem đi xem lại cả chục lần rồi mà không ngán",Enjoyment,"['1', 'bộ', 'phim', 'phải', 'nói', 'trên', 'cả', 'tuyệt vời', 'xem', 'xem lại', 'cả', 'chục', 'lần', 'không', 'ngán']",15
per phải nói là hiền quá hiền luôn cười_lăn_lộn_trên_sàn,Enjoyment,"['per', 'phải', 'nói', 'hiền', 'hiền', 'luôn', 'cười_lăn_lộn_trên_sàn']",7
1 câu chuyện buồn cười khuôn mặt biểu cảm buồn,Sadness,"['1', 'câu chuyện', 'buồn cười', 'khuôn mặt', 'biểu cảm', 'buồn']",6
để lúc không chơi nữa nó bóc phốt đó,Fear,"['để', 'lúc', 'không', 'chơi', 'nó', 'bóc', 'phốt']",7
quá đẳng cấp luôn bạn là số hai thì không ai là số một,Other,"['đẳng cấp', 'luôn', 'bạn', 'số', 'hai', 'không', 'ai', 'số một']",8
đã nuôi thì nên chăm sóc bé cẩn thận ?,Other,"['nuôi', 'chăm sóc', 'bé', 'cẩn thận', '?']",5
"bên đó cậu sao rồi , có hay cười nữa không ?",Other,"['bên', 'cậu', 'sao', 'hay', 'cười', 'không', '?']",7
đi kiểu gì mà chui cỡ đó vậy trời,Surprise,"['kiểu', 'gì', 'chui', 'cỡ', 'trời']",5
chụp không biết bao nhiêu lần rồi,Other,"['chụp', 'không', 'biết bao nhiêu', 'lần']",4
chưa bao giờ bắn trúng khó_xử,Sadness,"['chưa', 'bao giờ', 'bắn', 'trúng', 'khó_xử']",5
per huhu mất đi đồng nghiệp khóc_nức_nở,Sadness,"['per', 'huhu', 'mất', 'đồng nghiệp', 'khóc_nức_nở']",5
xem hết mới biết cái video nó không phải video hài thấy buồn buồn buồn_ngủ,Sadness,"['xem', 'hết', 'mới', 'biết', 'cái', 'video', 'nó', 'không', 'phải', 'video', 'hài', 'thấy', 'buồn buồn', 'buồn_ngủ']",14
"chạy xe ra đường mà che kín mặt , làm sao mà quan sát xung quanh được . đúng là ninja xành điệu , mai mốt thành ninja bàn thờ cho mà xem .",Disgust,"['chạy', 'xe', 'đường', 'che kín', 'mặt', 'làm sao', 'quan sát', 'xung quanh', 'đúng', 'ninja', 'xành điệu', 'mai mốt', 'thành', 'ninja', 'bàn thờ', 'xem']",16
ôi gu mình ! mà phim lâu quá rùi giờ mà đóng lại bản khác thì không biết sao ha,Enjoyment,"['ôi', 'gu', 'mình', '!', 'phim', 'lâu', 'rùi', 'giờ', 'đóng', 'bản', 'khác', 'không', 'biết', 'sao', 'ha']",15
sợ vãi linh hồn thất_vọng,Fear,"['sợ', 'vãi', 'linh hồn', 'thất_vọng']",4
cũng thơm mà . kì thị quá à .,Enjoyment,"['cũng', 'thơm', 'kì thị', 'à']",4
sẽ được toại nguyện thôi . yên tâm .,Other,"['toại nguyện', 'yên tâm']",2
aw giống tao vậy cười mấy thứ linh tinh tao còn để nguyên vào 1 cái hộp bự cơ,Enjoyment,"['aw', 'giống', 'tao', 'cười', 'mấy', 'thứ', 'linh tinh', 'tao', 'còn', 'để', 'nguyên', 'vào', '1', 'cái', 'hộp', 'bự', 'cơ']",17
"từ không tật nguyền , trở thành tật nguyền để nuôi mấy cái không đáng cười",Disgust,"['từ', 'không', 'tật nguyền', 'trở thành', 'tật nguyền', 'để', 'nuôi', 'mấy', 'cái', 'không', 'đáng', 'cười']",12
bảo dân trí thấp lại tự ái,Disgust,"['bảo', 'dân trí', 'thấp', 'tự ái']",4
vãi_lồn thánh nào ghép nhạc lầy vãi,Other,"['vãi_lồn', 'thánh nào', 'ghép', 'nhạc', 'lầy vãi']",5
tâm sự không đúng người ngoài việc họ cười vào mặt bạn,Fear,"['tâm sự', 'không', 'đúng', 'người', 'ngoài', 'việc', 'họ', 'cười', 'vào', 'mặt', 'bạn']",11
canh thời gian đăng đúng vãi !,Surprise,"['canh', 'thời gian', 'đăng', 'đúng', 'vãi', '!']",6
ha ha tim chất lắm,Enjoyment,"['ha', 'ha', 'tim', 'chất', 'lắm']",5
tôi đã đúng khi đọc bình luận thay vì đọc bài cười,Enjoyment,"['tôi', 'đúng', 'đọc', 'bình luận', 'thay vì', 'đọc', 'bài', 'cười']",8
nó chụp màn hình là còn tốt chán . có đứa nó còn đéo thèm đọc tn ấy .,Other,"['nó', 'chụp', 'màn hình', 'còn', 'tốt', 'chán', 'đứa', 'nó', 'còn', 'đéo thèm', 'đọc', 'tn', 'ấy']",13
cha con y chang nhau cười_chảy_nước_mắt 1 khuôn đúc ra,Surprise,"['cha con', 'y chang', 'nhau', 'cười_chảy_nước_mắt', '1', 'khuôn', 'đúc']",7
sợ á chị ạ em hay mua chuối với bà đấy,Fear,"['sợ', 'á', 'chị', 'ạ', 'em', 'hay', 'mua', 'chuối', 'bà', 'đấy']",10
nào chàng trai có nhiều tài hãy cho em gục ngã đi nào cười,Enjoyment,"['nào', 'chàng', 'trai', 'nhiều', 'tài hãy', 'em', 'gục', 'ngã', 'nào', 'cười']",10
diễm quỳnh haha em không biết,Enjoyment,"['diễm', 'quỳnh haha', 'em', 'không', 'biết']",5
hay lắm . thằng anh giúp 2 e thêm yêu lao động,Enjoyment,"['hay', 'lắm', 'thằng', 'anh', 'giúp', '2', 'e', 'thêm', 'yêu', 'lao động']",10
thích vãi lồn,Enjoyment,"['thích', 'vãi', 'lồn']",3
giờ có cả cẩu mèo buồn,Sadness,"['giờ', 'cả', 'cẩu', 'mèo', 'buồn']",5
không sao giống my my nhà mình thế,Enjoyment,"['không', 'sao', 'giống', 'my', 'my', 'nhà', 'mình', 'thế']",8
tôi bị gank mà tim_tan_nát,Sadness,"['tôi', 'gank', 'tim_tan_nát']",3
"tào lao , bịa đặt",Disgust,"['tào lao', 'bịa đặt']",2
đi bao xa mới thoát đựoc kiếp không có người yêu ? :,Sadness,"['bao', 'xa', 'mới', 'thoát', 'đựoc', 'kiếp', 'không', 'người yêu', '?']",9
hic hic mình còn chả bao giờ được giận lại ấy chứ buồn,Sadness,"['hic', 'hic', 'mình', 'còn', 'chả', 'bao giờ', 'giận', 'ấy', 'chứ', 'buồn']",10
7 thằng này không phải con người chúng mày ạ,Disgust,"['7', 'thằng', 'không', 'phải', 'con người', 'chúng mày', 'ạ']",7
giờ mà tiền thiếu học sinh chưa đóng chắc nhắc không biết bao nhiêu lần giờ đây 23 lớp chưa trả quên kiểu đó,Anger,"['giờ', 'tiền', 'thiếu', 'học sinh', 'chưa', 'đóng', 'chắc', 'nhắc', 'không', 'biết bao nhiêu', 'lần', 'giờ đây', '23', 'lớp', 'chưa', 'trả', 'quên', 'kiểu']",18
mình thấy rất đúng,Enjoyment,"['mình', 'thấy', 'đúng']",3
má trên đời có kiểu vô lý như này vẫn tồn tại được bọn ni bị bại não hà trời,Anger,"['má', 'trên', 'đời', 'kiểu', 'vô lý', 'vẫn', 'tồn tại', 'bọn', 'ni', 'bại', 'não', 'hà trời']",12
khoảnh khắc nhận ra đồng nghiệp mình is the best cười nguyễn ngọc thái hiền,Enjoyment,"['khoảnh khắc', 'nhận', 'đồng nghiệp', 'mình', 'is the', 'best', 'cười', 'nguyễn ngọc thái', 'hiền']",9
per đang ăn mà sao cứ chỉa trym vô hoài z khắm s ăn mỉm_cười,Disgust,"['per', 'ăn', 'sao', 'cứ', 'chỉa trym', 'vô', 'hoài z', 'khắm', 's', 'ăn', 'mỉm_cười']",11
rất có tố chất . liên đoàn xe đạp việt nam có thể liên hệ để đào tạo được đấy,Enjoyment,"['tố chất', 'liên đoàn', 'xe đạp', 'việt nam', 'có thể', 'liên hệ', 'để', 'đào tạo', 'đấy']",9
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh phẫn_nộ,Disgust,"['đáng', 'đời', 'con', 'quỷ', 'về', 'nhà', 'lôi', 'con', 'nhà', 'mày', 'đánh', 'phẫn_nộ']",12
"1 câu mà người ta hay nói , đắng như vị đời hài_lòng",Sadness,"['1', 'câu', 'người', 'ta', 'hay', 'nói', 'đắng', 'vị', 'đời', 'hài_lòng']",10
"chân ta cũng là chân đi và giờ bị đứt dây chằng , nằm một chỗ đợi mổ rồi mày . đồng cảm vãi",Sadness,"['chân', 'ta', 'cũng', 'chân', 'giờ', 'đứt', 'dây chằng', 'nằm', 'chỗ', 'đợi', 'mổ', 'mày', 'đồng cảm', 'vãi']",14
không sợ trộm luôn cười_nhe_răng,Enjoyment,"['không', 'sợ', 'trộm', 'luôn', 'cười_nhe_răng']",5
trừ điểm per,Disgust,"['trừ', 'điểm', 'per']",3
bắt gặp 1 thằng cô đơn ngồi cười cười,Disgust,"['bắt gặp', '1', 'thằng', 'cô đơn', 'ngồi', 'cười cười']",6
chuỗi ngày tủi nhục cũng từ đó mà bắt đầu,Sadness,"['chuỗi', 'ngày', 'tủi nhục', 'cũng', 'từ', 'bắt đầu']",6
minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thủy với mình hay không hâhah,Enjoyment,"['minh tu', 'nguyen', 'thuận phạm', 'quan trọng', 'đồng nghiệp', 'hợp', 'phong thủy', 'mình', 'hay', 'không', 'hâhah']",11
cảm giác thanh thản vãi,Enjoyment,"['cảm giác', 'thanh thản', 'vãi']",3
cách anh ấy chạy thật là đàng ông quá đi mà cười_chảy_nước_mắt,Enjoyment,"['cách', 'anh', 'ấy', 'chạy', 'đàng', 'ông', 'cười_chảy_nước_mắt']",7
định tag anh vào nhưng chợt nhớ ra làm gì có anh nào vô_cảm,Sadness,"['định', 'tag', 'anh', 'vào', 'nhưng', 'chợt', 'nhớ', 'làm gì', 'anh', 'nào', 'vô_cảm']",11
19 mét vuông mà thiết kế nhìn rộng rãi thiệt đó,Surprise,"['19', 'mét vuông', 'thiết kế', 'nhìn', 'rộng rãi', 'thiệt']",6
khi đang xây cầu mà bị rút bớt kinh phí !,Other,"['xây', 'cầu', 'rút', 'bớt', 'kinh phí', '!']",6
mỗi năm cũng xem lại đôi lần,Other,"['mỗi', 'năm', 'cũng', 'xem lại', 'đôi', 'lần']",6
còn trường hợp khạc nhổ nữa cơ chỉ muốn vả vào mõm cho chừa,Anger,"['còn', 'trường hợp', 'khạc nhổ', 'cơ', 'chỉ', 'muốn vả', 'vào', 'mõm', 'chừa']",9
đúng rồi đàn ông họ vất vả lắm kiếm tiền nuôi bố mẹ anh em vợ con nhưng khi họ vấp thì người ở lại là aithương thay các bác nhở,Sadness,"['đúng', 'đàn ông', 'họ', 'vất vả', 'lắm', 'kiếm', 'tiền', 'nuôi', 'bố mẹ', 'anh em', 'vợ con', 'nhưng', 'họ', 'vấp', 'người', 'aithương', 'thay', 'bác nhở']",18
thực ra tán gái không hề khó,Other,"['thực ra', 'tán', 'gái', 'không', 'hề', 'khó']",6
mệt như chó dễ_thương nhưng mà hoan hỉ đầu năm đi xin lộc đùa,Enjoyment,"['mệt', 'chó', 'dễ_thương', 'nhưng mà', 'hoan hỉ', 'đầu', 'năm', 'xin', 'lộc', 'đùa']",10
đây là độc giả nói vậy để có ví dụ thôi chứ không quán cơm nào bị truy thu như vậy hết đăng giật tít nhue này gây hoàng mang dư luận,Other,"['đây', 'độc giả', 'nói', 'để', 'ví dụ', 'chứ', 'không', 'quán', 'cơm', 'nào', 'truy thu', 'như vậy', 'hết', 'đăng giật', 'tít nhue', 'gây hoàng', 'mang', 'dư luận']",18
"hy vọng chừng đó con đã đi mẫu giáo lớn , 1 xe bảy chổ và nhà hai tấm cười_lăn_lộn_trên_sàn",Enjoyment,"['hy vọng', 'chừng', 'con', 'mẫu giáo', 'lớn', '1', 'xe', 'bảy', 'chổ', 'nhà', 'hai', 'tấm', 'cười_lăn_lộn_trên_sàn']",13
đoạn nộp bài kiểm tra mới tức cười ông thầy cười,Enjoyment,"['đoạn', 'nộp', 'bài', 'kiểm tra', 'mới', 'tức', 'cười', 'ông', 'thầy', 'cười']",10
ừ tính thi lại mà coi cái đề kìa,Other,"['ừ', 'tính', 'thi', 'coi', 'cái', 'đề kìa']",6
dume đồng nghiệp gặp hlin thì chỉ muốn nghỉ thôi,Anger,"['dume', 'đồng nghiệp', 'gặp', 'hlin', 'chỉ', 'muốn', 'nghỉ']",7
có 15 nghìn thì yêu thương kiểu gì,Disgust,"['15', 'nghìn', 'yêu thương', 'kiểu', 'gì']",5
nhanh bất ngờ đấy,Surprise,"['nhanh', 'bất ngờ', 'đấy']",3
quảng cáo đéo gì tao thấy đáng sợ vãi .,Anger,"['quảng cáo', 'đéo', 'gì', 'tao', 'thấy', 'đáng', 'sợ', 'vãi']",8
những người như thế này tử hình,Disgust,"['người', 'thế này', 'tử hình']",3
về đi học thôi bạn cười_chảy_nước_mắt,Enjoyment,"['về', 'học', 'bạn', 'cười_chảy_nước_mắt']",4
biết nấu cơm bếp củi từ lớp 2_3 gì đó,Enjoyment,"['biết', 'nấu', 'cơm', 'bếp', 'củi', 'từ', 'lớp', '2_3', 'gì']",9
tao cũng co con gái nhưng nó không như loại mày đẻ ra chỉ đau cười_lớn phí cả công nuôi nuôi con chó còn hơn nuôi loại con như mày,Anger,"['tao', 'cũng', 'co', 'con', 'gái', 'nhưng', 'nó', 'không', 'loại', 'mày', 'đẻ', 'chỉ', 'đau', 'cười_lớn phí', 'cả', 'công nuôi', 'nuôi', 'con', 'chó', 'còn', 'hơn', 'nuôi', 'loại', 'con', 'mày']",25
thật nhờ đến để phá adn nhà người ta à cười_lăn_lộn_trên_sàn,Enjoyment,"['nhờ', 'để', 'phá', 'adn', 'nhà', 'người', 'ta', 'à', 'cười_lăn_lộn_trên_sàn']",9
không hiểu luôn,Other,"['không', 'hiểu', 'luôn']",3
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Disgust,"['thằng', 'nào', 'nói', 'câu', 'thế', 'đừng', 'làm', 'nghề', 'v', 'nếu', 'không', 'người', 'làm', 'nghề', 'ks', 'mở cửa', 'chúng mày', 'vô àk', 'người', 'ăn học', 'ý thức', 'không', 'nói', 'câu']",24
dạo này bọn 4 chân manh động quá lên phường nhiều mà vẫn không sợ,Anger,"['dạo', 'bọn', '4', 'chân', 'manh động', 'lên', 'phường', 'nhiều', 'vẫn', 'không', 'sợ']",11
"muốn tiếp thu giáo dục phương tây thì tiếp thu cho trọn , đừng nhặt vụn vặt làm sai lệch một thế hệ tương lai .",Disgust,"['muốn', 'tiếp thu', 'giáo dục', 'phương tây', 'tiếp thu', 'trọn', 'đừng', 'nhặt', 'vụn vặt', 'làm', 'sai lệch', 'thế hệ', 'tương lai']",13
ai cũng bận cả và không ai rảnh rỗi ngày ngày quan tâm bạn đâu ?,Disgust,"['ai', 'cũng', 'bận', 'cả', 'không', 'ai', 'rảnh rỗi', 'ngày ngày', 'quan tâm', 'bạn', 'đâu', '?']",12
không biết có ai ở trong ngôi nhà không,Fear,"['không', 'biết', 'ai', 'ngôi', 'nhà', 'không']",6
kiểu xem đứa nào thắng !,Other,"['kiểu', 'xem', 'đứa', 'nào', 'thắng', '!']",6
oimeoi tao thấy được tao ngày xưa đây rồi cười,Enjoyment,"['oimeoi', 'tao', 'thấy', 'tao', 'ngày xưa', 'đây', 'cười']",7
ai sai người ấy chịu . đường là để đi nhà là để bán hàng . việc ai lấy làm đừng bận tâm,Other,"['ai', 'sai', 'người', 'ấy', 'chịu', 'đường', 'để', 'nhà', 'để', 'bán', 'hàng', 'việc', 'ai', 'lấy làm', 'đừng', 'bận tâm']",16
thằng israel tội diệt chủng cần phải loại bỏ,Anger,"['thằng', 'israel tội', 'diệt chủng', 'cần', 'phải', 'loại bỏ']",6
"kệ mẹ tao , tao thích nuôi chó thôi oke nó đéo bao giờ kêu tao bướng",Anger,"['kệ', 'mẹ', 'tao', 'tao', 'thích', 'nuôi', 'chó', 'oke', 'nó', 'đéo', 'bao giờ', 'kêu', 'tao', 'bướng']",14
thằng này dạo này ít xem mạng mẽo hay gì ấy nhỉ cười,Anger,"['thằng', 'dạo', 'ít', 'xem', 'mạng', 'mẽo', 'hay', 'gì', 'ấy', 'nhỉ', 'cười']",11
tao ghét và tao sợ nó,Fear,"['tao', 'ghét', 'tao', 'sợ', 'nó']",5
trời ơi trời,Other,"['trời', 'ơi', 'trời']",3
lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt thì trẻ cũng đã ăn rồi lũ mất nhân tính,Anger,"['lũ', 'nghỉ việc', 'thay', 'người', 'khác', 'còn', 'bao nhiêu', 'người', 'xin', 'việc', 'kìa', 'xử phạt', 'trẻ', 'cũng', 'ăn', 'lũ', 'mất', 'nhân tính']",18
"nói gì , em trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm thấy nó cắt tóc xong là đứa nào chứ không phải em tao cười",Enjoyment,"['nói', 'gì', 'em trai', 'tao', 'cắt', 'tóc', 'xong', 'tao', 'đè', 'nó', 'chụp', 'hình', 'cảm thấy', 'nó', 'cắt', 'tóc', 'xong', 'đứa', 'nào', 'chứ', 'không', 'phải', 'em', 'tao', 'cười']",25
ăn cái này là nghiệp quật dữ lắm à nghen nhăn_nhở,Other,"['ăn', 'cái', 'nghiệp', 'quật dữ', 'lắm', 'à', 'nghen', 'nhăn_nhở']",8
nó quan tâm mày là lúc nó cô đơn quá và mày vô tình đi ngang đời nó thôi,Disgust,"['nó', 'quan tâm', 'mày', 'lúc', 'nó', 'cô đơn', 'mày', 'vô tình', 'ngang', 'đời', 'nó']",11
hú hồn,Fear,"['hú', 'hồn']",2
cười lộn ruột,Enjoyment,"['cười', 'lộn ruột']",2
huhu cho tôi yêu đương với dễ thương chết được say_mê,Enjoyment,"['huhu', 'tôi', 'yêu đương', 'dễ thương', 'chết', 'say_mê']",6
trai tài gái sắc . danh ngôn rồi tài sản chứ tài gì ! cười_lăn_lộn_trên_sàn,Enjoyment,"['trai', 'tài gái', 'sắc', 'danh ngôn', 'tài sản', 'chứ', 'tài', 'gì', '!', 'cười_lăn_lộn_trên_sàn']",10
bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa cười,Sadness,"['bạn', 'hiểu', 'nổi khổ', 'mario', 'mua', 'vui', 'bạn', 'chưa', 'cười']",9
nếu chịu khó đặt vào hoàn cảnh của nhau mà sống thì cuộc sống đơn giản hơn rồi đó,Sadness,"['nếu', 'chịu khó', 'đặt', 'vào', 'hoàn cảnh', 'nhau', 'sống', 'cuộc sống', 'đơn giản', 'hơn']",10
